"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
2210,"Детский спортивный комплекс","Московская область","Спортивная, 54, Электросталь, Россия, 144000","17.12.2015"
2211,"Стадион "Ленский"",,"Россия",
2212,"Стадион "Ленский"","Московская область","переулок Интернациональный , 32, Павловский Посад, Россия, 142505","17.12.2015"
2213,"Спортивный комплекс "Здоровье" МАУ ФКиС "Физкультурно-оздоровительный комплекс"","Тюменская область","Спортивная , 30, Армизонское, Россия, 627220","17.12.2015"
2214,"Лыжная база (здание "ДЮСШ")","Томская область","Суворова, 1/б, Мельниково, Россия, 636130","17.12.2015"
2215,"Здание спорткомплекса МБОУ ДОД ДЮСШ "Заволжье"","Ульяновская область","бульвар Новосонденцкий, 1А, Ульяновск, Россия, 432072","17.12.2015"
2216,"Здание СДЮСШОР №2 "Юность" корпус №2","Кемеровская область","С.Перовской, 2, Анжеро-Судженск, Россия, 652470","17.12.2015"
2217,"Шебекинское МБУ "Спортивный комплекс "Юность"","Белгородская область","Железнодорожная, 5а, Шебекино, Россия, 309290","17.12.2015"
2218,"Физкультурно-оздоровительный комплекс "Юбилейный" МАУ "Центр спортивной подготовки "Вымпел" городского округа г. Кумертау Республики Башкортостан","Республика Башкортостан","60 лет БАССР, 10, Кумертау, Россия, 453300","18.12.2015"
2219,"АНО ДОД ДЮСШ "ФК "Зенит"(комплекс футбольных полей)","Санкт-Петербург","Верности ул, 21слит. А, И, О, К, Л, М, Д, Е, Ж, Санкт-Петербург, Россия, 195256","18.12.2015"
2220,"Площадка спортивная открытая  специализированная, каток с ледовым покрытием (сооружение)","Томская область","Высоцкого Владимира, 7, Томск, Россия, 634040","18.12.2015"
2221,"Физкультурно-оздоровительный комплекс","Республика Коми","6-ой микрорайон, 35, Сосногорск, Россия, 169500","18.12.2015"
2222,"Сооружение хоккейного корта МБОУ ДОД "СДЮСШОР по биатлону"","Ханты-Мансийский автономный округ","мкр-н 9, 34, Нефтеюганск, Россия, 628309","18.12.2015"
2223,"Дворец спорта Товарковского МКУ "Культурно-досуговый центр"","Калужская область","Ленина, 31, Товарково, Россия, 249855","18.12.2015"
2224,"Многофункциональный коневодческий центр "ОРИЕНТ"","Московская область","Горки Сухаревские , Россия, 121615","18.12.2015"
2225,"Блок 1 с легкоатлетическим манежем и вспомогательными помещениями","Красноярский край","Кравченко, с7, Ачинск, Россия, 662161","18.12.2015"
2226,"СДЮСШОР "ТЕМП"","Пермский край","Ломоносова, 113, Березники, Россия, 618416","18.12.2015"
2227,"Физкультурно-спортивный комплекс с универсальным игровым залом МБОУ ДОД ДЮСШ","Ханты-Мансийский автономный округ","мкр. 3 "Кедровый" ул. Святослава Федорова, 23, Пыть-Ях, Россия, 628383","18.12.2015"
2228,"Здание учебно-спортивной базы","Приморский край","Чкалова, 1Г, Партизанск, Россия, 690091","18.12.2015"
2229,"Спортивно-стрелковый тир для пневматической стрельбы МБУ "ФСК "Фортуна"","Ямало-Ненецкий автономный округ","микрорайон 9, 67, Губкинский, Россия, 629830","18.12.2015"
2230,"Комплекс велотрека стадиона "Локомотив"","Ростовская область","просп. Стачки, 28, Ростов-на-Дону, Россия, 344004","15.05.2015"
2231,"Стрелковый тир","Хабаровский край","Советская, Хабаровск, Россия, 680000","23.12.2015"
2232,"Стадион ЗАО "ВПЗ"","Вологодская область","Гагарина, 44а, Вологда, Россия, 160002","23.12.2015"
2233,"Ледовая арена ГАУ НО "Ледовый дворец в г. Навашино Нижегородская области","Нижегородская область","Почтовая, 2, Навашино, Россия, 607100","23.12.2015"
2234,"Быстровозводимая крытая спортивная площадка","Красноярский край","р.п. Дубинино, ул. Пионеров КАТЭКа, 20, Шарыпово, Россия, 662311","23.12.2015"
2235,"Здание МОУ ДОД "ДЮСШ" г. Шарыпово спорткомплекс "Надежда"","Красноярский край","р.п. Дубинино, мкрн. Пионерный , 178, Шарыпово, Россия, 662311","23.12.2015"
2236,"Спортивный комплекс "Кристалл"","Владимирская область","квартал-9, 3, Радужный, Россия, 600910","23.12.2015"
2237,"Физкультурно-оздоровительный комплекс "Детско-юношеской спортивной школы" ЗАТО г. Радужный Владимирской области","Владимирская область","квартал-9, 3 А, Радужный, Россия, 600910","23.12.2015"
2238,"Хоккейный корт","Тюменская область","Комсомольская, 15, Ялуторовск, Россия, 625003","23.12.2015"
2239,"Спорткомплекс "Юность" - сооружение: крытый хоккейный корт","Тюменская область","Одесская, 50 а, Тюмень, Россия, 625003","23.12.2015"
2240,"7 крытых теннисных кортов с синтетическим покрытием "Хард" (под воздухоопорным сооружением) ООО "Теннисный клуб "Пироговский"","Московская область","Совхозная, 37, Пирогово, Россия","29.07.2014"
2241,"Детско-юношеская спортивная школа  №1 города Белогорск","Амурская область","Кирова, 116А, Белогорск, Россия, 676850","23.12.2015"
2242,"Зал спортивный (Здание)","Хабаровский край","Промышленная, 12, Хабаровск, Россия, 680000","22.12.2015"
2243,"Спорткомплекс "Локомотив"","Республика Коми","Матвеева, 27 а, Воркута, Россия, 169900","24.12.2015"
2244,"Стадион МАУ "ЦСП "Вымпел" го г. Кумертау Республики Башкортостан","Республика Башкортостан","Советская, 2сА, Кумертау, Россия, 453300","24.12.2015"
2245,"Спортивно-оздоровительный комплекс "Здоровье"","Тюменская область","Газовиков, 11, Тюмень, Россия, 625000","24.12.2015"
2246,"МБУ ДО "СДЮСШОР №1"","Свердловская область","Газетная, 109 а, Нижний Тагил, Россия, 622034","24.12.2015"
2247,"Спортивный зал МБУ ДО "Детско-юношеская спортивная школа" г. Краснокамска","Пермский край","Карла Маркса, 4в, Краснокамск, Россия, 617060","24.12.2015"
2248,"Физкультурно-спортивный центр со спортивным залом","Красноярский край","просп. Энергетиков, 7, Шарыпово, Россия, 662311","24.12.2015"
2249,"Спортивная школа в индустриальном районе г. Хабаровска","Хабаровский край","Павла Леонтьевича Морозова, 30, Хабаровск, Россия, 680000","24.12.2015"
2250,"Бассей (Здание)","Забайкальский край","Курнатовского , 56, Чита, Россия, 672007","24.12.2015"
2251,"Помещение МБОУ ДОД "СДЮСШОР дзюдо, самбо им. С.М. Рыбина","Владимирская область","ХIX Партсъезда, 8, Ковров, Россия, 601903","28.12.2015"
2252,"Футбольное поле и поле для мини-футбола (с искусственным покрытием)","Свердловская область","Свердлова, 29а, Североуральск, Россия, 624480","22.12.2015"
2253,"Здание школы им. Борова (зал спортивный крытый универсальный)","Оренбургская область","Ленинградская, 46, Бугуруслан, Россия, 461630","22.12.2015"
2254,"Здание (спортивный комплекс)","Тюменская область","Больничная, 52, Казанское, Россия, 627420","22.12.2015"
2255,"Спортивный зал МАУ СОК "Яхрома"","Московская область","Советская, 4, Яхрома, Россия, 141840","22.12.2015"
2256,"Здание - городошный павильон","Нижегородская область","Дворовая, 32А, Нижний Новгород, Россия, 603111","22.12.2015"
2257,"Тир стрелковый крытый","Свердловская область","Ольховая, 69, Новоуральск, Россия, 624135","22.12.2015"
2258,"Стрелковый тир МБУ ДО ДЮСШ "Десантник" по пулевой стрельбе (подвальное помещение)","Ямало-Ненецкий автономный округ","Советский, 9, Тарко-Сале, Россия, 629850","22.12.2015"
2259,"Ледовый каток","Чукотский автономноый округ","Чукотская, 6, Анадырь, Россия, 689000","22.12.2015"
2260,"Комплекс зданий и сооружений: МФСК дворец спорта "Дельфин", площадка спортивная открытая специализированная","Свердловская область","Фурманова, 28, Новоуральск, Россия, 624133","22.12.2015"
2261,"Физкультурно-оздоровительный комплекс "Центральный" МБУК "Бахэт"","Астраханская область","Ленина, 95г, Три Протока, Россия, 416474","21.12.2015"
2262,"Зал спортивный крытый универсальный (нежилое здание)","Томская область","Высоцкого, 7, Томск, Россия, 634040","21.12.2015"
2263,"Бассейн ФГБОУ ВПО "ТюмГАСУ"","Тюменская область","Луначарского, 2, Тюмень, Россия, 625001","21.12.2015"
2264,"Стадион "Центральный"","Тюменская область","Ленина, 52, Голышманово, Россия, 627300","28.01.2016"
2265,"Трасса спортивная (земельный участок)","Томская область","Высоцкого, 7, Томск, Россия, 634040","28.01.2016"
2266,"Специализированная детско-юношеская спортивная школа олимпийского резерва МБОУ ДО "ДЮСШ" Егорлыкского района","Ростовская область","Грицика, 119, Егорлыкская, Россия, 347661","28.01.2016"
2267,"Спортивный комплекс","Тюменская область","Кузнецова, 53, Викулово, Россия, 627571","28.01.2016"
2268,"Зал спортивный крытый универсальный с покрытием из дерева","Краснодарский край","Советов, 13,пом.4, Бараниковский, Россия, 353581","28.01.2016"
2269,"Стадион","Тюменская область","Кузнецова, 49, Викулово, Россия, 627571","28.01.2016"
2270,"Крытый каток","Приморский край","Владивосток, Россия, 690048","28.01.2016"
2271,"Здание школы с плавательным бассейном","Ростовская область","6-я линия, 86, Чалтырь, Россия, 346800","28.01.2016"
2272,"Комплекс конноспортивный открытого типа универсальный с натуральным покрытием, с постоянным полем от 1200м2 до 4000м2","Краснодарский край","Армавирская, 246, Сочи, Россия, 354207","28.01.2016"
2273,"МБОУ ДОД СДЮСШОР гимнастики им. Р. Кузнецова","Томская область","Ленинградская, 9, Северск, Россия, 636013","28.01.2016"
2274,"Здание спортивного комплекса имени Маршала Г.К. Жукова","Калужская область","Гурьянова, 33, Жуков, Россия, 249191","28.01.2016"
2275,"Спортивный зал МБОУ ДОД "ДДТ ЗАТО г.Островной"","Мурманская область","Бессонова, 2, Островной, Россия, 184641","28.01.2016"
2276,"Спортивное ядро стадиона "Водник"","Приморский край","Владивостокская, 56, Находка, Россия, 692916","13.01.2016"
2277,"Открытый конькобежный стадион с искусственным льдом","Санкт-Петербург","Демьяна Бедного, 19с2, Санкт-Петербург, Россия, 195276","28.01.2016"
2278,"Комплекс лыжный открытый специализированный с естественным снежным покровом КОО ОГО ВФСО "Динамо"","Курганская область","Нагорная, 2а, Курган, Россия, 640016","26.01.2016"
2279,,,"Россия",
2280,""Стадион "Металург" Центр подготовки спортивных сборных команд Свердловской области по техническим видам спорта"","Свердловская область","Октябрьская, 1, Каменск-Уральский, Россия, 623400","27.11.2014"
2281,"ОАУ ОО "Центральный стадион им. В.И. Ленина"","Орловская область","Тургенева, 55, Орел, Россия, 302028","15.04.2014"
2282,"Большой бассейн МАУ "УСК "Альбатрос"","Саратовская область","Чапаева, 114, Балаково, Россия, 413849","11.06.2015"
2283,"Стадион "Олимп - 2"","Ростовская область","пр. Шолохова / 1-й Конной Армии, 31 е,г, 31/6а, 31б, 6г, Ростов-на-Дону, Россия, 344029","05.05.2014"
2284,"Спортивный зал с трибунами и раздевалками","Республика Карелия","Пограничная, 50, Петрозаводск, Россия, 185013","26.01.2016"
2285,"Зал спортивный крытый 28,48х14,14х10","Москва","Алабяна, 13с1, Москва, Россия, 125252","25.01.2016"
2286,"Здание (Спортивный комплекс "Металлург" (универсальный игровой зал)","Тульская область","Кутузова, 229, Тула, Россия, 300016","25.01.2016"
2287,"Здание (физкультурно-оздоровительный комплекс с плавательным бассейном)","Рязанская область","Высоковольтная, 7а, Рязань, Россия, 390026","25.01.2016"
2288,"МУП "Спортивно-оздоровительный комплекс "Стрелец" г. Великие Луки","Псковская область","Ботвина, 4, Великие Луки, Россия, 182104","25.01.2016"
2289,"Здание (Спортивный комплекс)","Тульская область","Жуковского, 5, Тула, Россия, 300024","25.01.2016"
2290,"Муниципальное унитарное предприятие "Дом физкультуры"","Республика Башкортостан","Парковая, 18, Нефтекамск, Россия, 452687","25.01.2016"
2291,"Спортивный зал МУ ДО "ДЮСШ №3" г. Магнитогорска","Челябинская область","Набережная, 7, Магнитогорск, Россия, 455023","25.01.2016"
2292,"Универсальный спортивный зал "Севмаш"","Архангельская область","Северодвинск, Россия, 164500","29.01.2016"
2293,"Спортивный корпус МКУ "УМФСиТ"","Челябинская область","Советская, 10а, Миньяр, Россия, 456007","29.01.2016"
2294,"Многофункциональный спортивный комплекс (земельный участок)","Красноярский край","Кравченко, 30, Ачинск, Россия, 662161","29.01.2016"
2295,"Поле спортивное (земельный участок)","Красноярский край","Декабристов, 29А, Ачинск, Россия, 662161","29.01.2016"
2296,"Здание (универсальный спортивный зал)","Московская область","Пионерская, 9а, Пересвет, Россия, 109429","29.01.2016"
2297,"Спортивный комплекс "Темп"","Владимирская область","Муромская, 3, Ковров, Россия, 601900","29.01.2016"
2298,"Крытое гандбольное поле с пристройкой вспомогательных помещений и административных помещений (Спортивный зал и Тренажерный зал)","Московская область","Чайковского, 59/32, Звенигород, Россия, 143180","29.01.2016"
2299,"МБУДО СДЮСШОР №5","Смоленская область","Попова, 20Б, Смоленск, Россия, 214020","29.01.2016"
2300,"Универсальный спортивный зал "Север" с синтетическим покрытием","Архангельская область","Советская, 29, Северодвинск, Россия, 164500","29.01.2016"
2301,"Физкультурно-оздоровительный комплекс","Кемеровская область","В.П. Мазикина, 6, Ленинск-Кузнецкий, Россия, 652523","29.01.2016"
2302,"Дом Корабела","Архангельская область","Ленина, 14, Северодвинск, Россия, 164514","29.01.2016"
2303,"Спортивный зал МБУ ДО ДЮСШ Кагальницкого района","Ростовская область","Школьная, 36г, Кировская, Россия, 347701","03.02.2016"
2304,"Спортивный зал МБУ ДО ДЮСШ Кагальницкого района Ростовской области","Ростовская область","Новая, 33, Двуречье, Россия, 347701","03.02.2016"
2305,"Хоккейный корт МОУ ДОД "ДЮСШ№1"","Архангельская область","Загородная, 1Б, Котлас, Россия, 165300","03.02.2016"
2306,"Спортивный зал АОУ ДОД "Упоровская ДЮСШ"","Тюменская область","Строителей, 21Б, Упорово, Россия, 627180","03.02.2016"
2307,"Лыжный центр АОУ ДОД "Упоровская ДЮСШ"","Тюменская область","Каратаева, 35, Упорово, Россия, 627180","03.02.2016"
2308,"Лыжная база на 20 учащихся в пгт.Троицко-Печорск Троицко-Печорского района","Республика Коми","Ленина, 17/2, Троицко-Печорск, Россия, 169420","03.02.2016"
2309,"Спорткомплекс МБУДО "ЦФСиТ" Усть-Цилемского района","Республика Коми","Новый квартал, 4А, Усть-Цильма, Россия, 169480","03.02.2016"
2310,"Встроенное нежилое помещение спортзала","Кемеровская область","Поспелова, 20, Таштагол, Россия, 652992","03.02.2016"
2311,"Стрелково-стендовый комплекс АНО "ССК "СИНАРА"","Свердловская область","примерно в 0,5км по направлению на запад от д.Кремлевка, Каменский район, Россия, 623400","03.02.2016"
2312,"Стадион "Динамо" г. Барнаул","Алтайский край","Никитина, 55, Барнаул, Россия, 656056","14.06.2016"
2313,"Арена ледовая крытая универсальная","Красноярский край","Металлургов, 22Д, Красноярск, Россия, 660112","04.02.2016"
2314,"Универсальный спортивный комплекс Метеор","Республика Коми","Гоголя, 10, Сосногорск, Россия, 169500","05.02.2016"
2315,"Физкультурно-оздоровительный комплекс с бассейном "под ключ"","Вологодская область","Революционная, 104, Грязовец, Россия, 162002","05.02.2016"
2316,"Здание Дворца спорта для детей и юношества МБУДО "Дворец спорта для детей и юношества"","Республика Коми","Ленина, 7, Инта, Россия, 169849","05.02.2016"
2317,"Здание лыжной базы на 20 учащихся в с.Объячево Прилузского района","Республика Коми","30 лет Победы, 15 в, Объячево, Россия, 168130","05.02.2016"
2318,"Стадион ГБУ "Спортивный комплекс С.Г. Билимханова"","Чеченская Республика","Мира, 83, Грозный, Россия, 364024","02.07.2014"
2319,"Здание (спортивный комплекс)","Тульская область","Демьянова, 26А, Тула, Россия, 300045","25.01.2016"
2320,"Дом физкультуры и стадион "Динамо" с полем и трибуной","Архангельская область","Садовая, 8, Архангельск, Россия, 163000","25.01.2016"
2321,"Нежилое здание спортивного комплекса МБУ "Управления физической культуры, спорта и туризма администрации Корочанского района"","Белгородская область","Ленина, 130, Бехтеевка, Россия, 309218","25.01.2016"
2322,"Спортивный комплекс "СДЮСШОР по велоспорту "Велогород" в городе Верхняя Пышма","Свердловская область","Шевченко, 32а, Верхняя Пышма, Россия, 624091","25.01.2016"
2323,"Центр олимпийской подготовки по водным видам спорта «Уралочка»","Челябинская область","Таганайская, 1А, Златоуст, Россия, 456200","23.04.2014"
2324,"Крытый каток с искусственным льдом и трибунами на 2000 мест","Республика Башкортостан","Ленина, 19 Д, Нефтекамск, Россия, 450006","30.05.2013"
2325,"Спортивный комплекс","Ярославская область","Спартаковская, 10, Ярославль, Россия, 150034","15.02.2016"
2326,"Мончегорская СШОР по горнолыжному спорту","Мурманская область","гора Нюдуайвенч, Мончегорск, Россия, 184511","21.03.2014"
2327,"Плавательный бассейн","Самарская область","Строителей, 1, Самара, Россия, 443051","05.04.2016"
2328,"Лыжероллерная трасса пос.Увал","Курганская область","Звездная, 1, Г. Курган, Россия, 640006","19.06.2014"
2329,"Здание СДЮСШОР №33 (спортивный зал, нижний спортивный зал, тренажерный зал)","Воронежская область","Бульвар Победы, 17, Воронеж, Россия, 394077","25.01.2016"
2330,"Спортивно технический комплекс горных лыж и сноуборда","Кемеровская область","Скворцова, 42, Таштагол, Россия, 652990","25.01.2016"
2331,"Спортивный комплекс "Луми"","Республика Карелия","Неглинская наб., 52, Петрозаводск, Россия, 185035","22.01.2016"
2332,"Сооружение-спортивное ядро МУ "ФСК"","Челябинская область","Малышева, 60, Кыштым, Россия, 456870","05.02.2016"
2333,"Универсальный хоккейный корт с бытовыми помещениями МАОУ ДО "ДЮСШ "Рекорд"","Иркутская область","Снежная, 39А, Братск, Россия, 665734","05.02.2016"
2334,"Физкультурно-оздоровительный комплекс","Самарская область","Карла Маркса, 12А, Чапаевск, Россия, 446100","05.02.2016"
2335,"Поле спортивное (земельный участок)","Республика Алтай","район остановки "Рынок", между жилыми домами № 36 и № 38, Горно-Алтайск, Россия, 649000","05.02.2016"
2336,"Стадион "Строитель" на 4200 посадочных мест","Алтайский край","Липового пер, 60, Бийск, Россия, 659300","05.02.2016"
2337,"Футбольное поле","Белгородская область","Горького, 45, Валуйки, Россия, 309990","25.01.2016"
2338,"Конкурное поле с трибунами","Республика Коми","Д. Каликовой, 165б, Выльгорт, Россия, 168220","05.02.2016"
2339,"Дом спорта","Республика Коми","Олимпийская, 1, Объячево, Россия, 168130","05.02.2016"
2340,"Спортивный комплекс "Победа"","Воронежская область","Воронежская, 46, Репьевка, Россия, 396370","21.01.2016"
2341,"ГАУ ДО "ДЮСШ "Елатьма"","Рязанская область","Ленина, 53-Г, Елатьма, Россия, 391353","05.02.2016"
2342,"Стадион (искусственное футбольное поле с комплектующими материалами) МБУ МО "ЦФКиСДиЮ "Рекорд"","Владимирская область","Базунова, стадион "Рекорд", Александров, Россия, 601655","11.02.2016"
2343,"СОЦ "Атлант"","Кемеровская область","8 марта, 1Б, Березовский, Россия, 652420","11.02.2016"
2344,"Крытый каток","Республика Коми","Ясный, 2, Воркута, Россия, 169900","20.01.2016"
2345,"Малозатратный спортивный зал","Ростовская область","Коммунальная, 13, Казанская, Россия, 346170","11.02.2016"
2346,"Здание спортивного комплекса МОУ ДОД г. Кинешма "СДЮСШОР им. Олимпийского чемпиона с. Клюгина"","Ивановская область","50-летия Комсомола, 24, Кинешма, Россия, 155800","12.02.2016"
2347,"Культурно-спортивный комплекс "Цементник"","Республика Коми","Спортивная, 3, Воркута, Россия, 169900","21.01.2016"
2348,"Физкультурно-оздоровительный комплекс","Московская область","8 Марта, 6а, Люберцы, Россия, 140007","12.02.2016"
2349,"Спорзал "Шахтер"","Республика Коми","Ленинградская, 26, Воркута, Россия, 169900","21.01.2016"
2350,"Спортзал","Республика Коми","Фрунзе, 19, Воркута, Россия, 169900","21.01.2016"
2351,"Спортивный комплекс ДЮСШ","Томская область","Ленинская, 17а, Первомайское, Россия, 636930","12.02.2016"
2352,"Конно-спортивный комплекс (конюшня, санпропускник, манеж)","Тюменская область","Островского, 1а, Боровский, Россия, 625504","12.02.2016"
2353,"МАУ "Физкультурно-оздоровительный комплекс Уватского муниципального района"","Тюменская область","Дорожная, 7, Уват, Россия, 626170","21.01.2016"
2354,"Дом спорта","Пермский край","М. Горького, 78, Оса, Россия, 618122","12.02.2016"
2355,"Спортивный зал тяжелой атлетики","Кемеровская область","Гагарина, 2, Анжеро-Судженск, Россия, 652471","19.01.2016"
2356,"ДЮСШ "Чайка"","Нижегородская область","Дворовая, 37, Нижний Новгород, Россия, 603095","09.01.2016"
2357,"Открытое спортивное сооружение - Футбольное поле с естественным покрытием, категории "Б" ДЮСШ "Лидер"","Кировская область","Ленина, Киров, Россия, 249444","19.01.2016"
2358,"Поле спортивное специализированное футбольное тренировочное (сооружение)","Ростовская область","Магистральная, 14, Гуково, Россия, 347871","12.02.2016"
2359,"Здание бассейна МБУ ДО СДЮСШОР № 3 г. Волгодонска","Ростовская область","Ленина, 114, Волгодонск, Россия, 347360","12.02.2016"
2360,"Воздухоопорный универсальный спортивный комплекс МБУ ЦСП "Лидер"","Краснодарский край","Азовская, 118, Армавир, Россия, 352913","19.01.2016"
2361,"Здание лыжной базы МОУ ДОД "СДЮСШОР №19"","Ярославская область","3-я Яковлевская, 31, Ярославль, Россия, 150054","19.01.2016"
2362,"«Санная трасса» КГБОУ ДОД СДЮСШОР  по санным видам спорта»","Красноярский край","Электриков, 10са, Красноярск, Россия, 660121",
2363,"Стадион МБУ ДО "ДЮСШ "Спартак"","Белгородская область","м-н Горняк, 22а, Старый Оскол, Россия, 309504","12.02.2016"
2364,"Имущественный комплекс стадиона "Трактор" (футбольное поле, натуральный газон)","Волгоградская область","Могилевича, 2А, Волгоград, Россия, 400005","12.02.2016"
2365,"Зал спортивный специализированный для силовых видов спорта 17х28,5 м ГБПОУ "МССУОР №2" Москомспорта","Москва","Малая Филевская, 34с2, г. Москва, Россия, 121433","12.02.2016"
2366,"Сооружение "Стадион"","Ростовская область","Дзержинского, 194, Зимовники, Россия, 347460","12.01.2016"
2367,"Арена ледовая крытая универсальная с катком 30х60 м.","Свердловская область","Латвийская, 35, Екатеринбург, Россия, 620007","12.02.2016"
2368,"СК "Юбилейный"","Вологодская область","Ленина, 125са, Череповец, Россия, 162606","27.05.2014"
2369,"Здание "Спорткомплекса"","Приморский край","Владивостокская, 45, Находка, Россия, 692916","02.01.2016"
2370,"Легкоатлетический манеж","Приморский край","Владивостокская, 45, Находка, Россия, 692916","12.01.2016"
2371,"Крытый каток с искусственным льдом","Ленинградская область","Школьный переулок, 1, Старая, Россия, 188664","09.06.2016"
2372,"Стадион","Московская область","мкр-н Северный, террит. 301 ЦСФБ, Балашиха, Россия, 125167","08.02.2016"
2373,"Плавкомплекс в военном городке №22 филиала ФАУ МО РФ ЦСКА (ЦСК ВВС, г.Самара)","Самарская область","Волжский проспект, 10, Самара, Россия, 443071","10.02.2016"
2374,"Ледовый дворец "Молодежный"","Удмуртская Республика","проспект Конструктора Калашникова М.Т., 15, Ижевск, Россия, 426072","10.02.2016"
2375,"Земельный участок (Санная трасса для натурбана)","Ростовская область","Россия, 347800",
2376,"Здание (спортивный зал)","Республика Ингушетия","Гарданова, 68, Малгобек, Россия, 386302","11.02.2016"
2377,"Развлекательно-игровой комплекс "Электрон"","Псковская область","Киселева, 1, Псков, Россия, 180014","11.02.2016"
2378,"Земельный участок (Санная трасса для натурбана)","Мурманская область","Кандалакша, Россия, 184040","10.02.2016"
2379,"Здание (спортивный зал)","Ростовская область","Ученическая, 5-б, Каменск-Шахтинский, Россия, 347800","10.02.2016"
2380,"Поля для футбола (площадью 700 кв м) и для пляжного футбола, волейбола, бадминтона (площадью 720 кв м)","Московская область","Местоположение: установлено относительно ориентира, расположенного в границах участка. Ориентир в районе городского парка, Раменское, Россия, 140100","11.02.2016"
2381,"Министадион МБОУ ДОД "СДЮСШОР "Факел"","Свердловская область","Победы, 25, Лесной, Россия, 624200","12.02.2016"
2382,"Стадион "Юбилейный"","Иркутская область","Ленина, 3 В, Усть-Илимск, Россия, 666673","12.02.2016"
2383,"Детский оздоровительно-образовательный центр "Олимпиец"","Иркутская область","Ленина, 2 А, Усть-Илимск, Россия, 666673","12.02.2016"
2384,"Велотрек МАУ "оздоровительный центр "Сокол" муниципального образования "Город Сарапул"","Удмуртская Республика","Молодежная, 8, Сарапул, Россия, 427961","10.03.2016"
2385,"Физкультурно-оздоровительный комплекс крытый, постоянный с бассейном 25 м и универсальным спортивным залом 36х18 м МБОУ ДЮСШ","Новосибирская область","Мира, 4, Краснозерское, Россия, 623902","18.02.2016"
2386,"Стадион универсальный (с натуральным покрытием для футбола и искусственным покрытием для легкой атлетики) для футбола и легкой атлетики МБОУ ДЮСШ","Новосибирская область","Первомайская, 45б, Краснозерское, Россия, 623902","18.02.2016"
2387,"Спортивный корпус (зал спортивный универсальный с покрытием из древесины)","Самарская область","Советской Армии, 141, Самара, Россия, 443090","18.02.2016"
2388,"Оздоровительный центр "Сокол" муниципального образования "Город Сарапул"","Удмуртская Республика","Молодежная, 8, Сарапул, Россия, 427961","03.06.2016"
2389,"Зал спортивный специализированный для тяжелой атлетики","Московская область","Текстилей, 31, Ногинск, Россия, 142403","12.02.2016"
2390,"Многофункциональный игровой зал с закрытым плавательным бассейном в Шолоховском поселении Белокалитвинского района","Ростовская область","Комсомольская, 20, Шолоховский, Россия, 347042","18.02.2016"
2391,"Овал конькобежный (земельный участок) с трибунами","Мурманская область","Строительная, 47а, Оленегорск, Россия, 184530","18.02.2016"
2392,"Спортивный комплекс "Красный якорь"","Кировская область","Советская, 98сА, Слободской, Россия, 613150","12.02.2016"
2393,"Здание крытого хоккейного корта","Курганская область","микрорайон 1а, 7, Курган, Россия, 640023","19.02.2016"
2394,"Здание спортивного зала на базе СОЛ "Юность-1" с АБК и встроенной котельной МАУ "ИГ стадион "Центральный"","Тюменская область","25, Дом Отдыха, Россия, 627756","19.02.2016"
2395,"Стадион спортивных игр "Торос" МБУ КФКСиТ","Республика Башкортостан","Парковая, 18А , Нефтекамск, Россия, 452684","19.02.2016"
2396,"Зал силовой нагрузки МАУ "ИГ стадион "Центральный"","Тюменская область","М. Горького, 22с1, Ишим, Россия, 627756","19.02.2016"
2397,"Лыжная база","Республика Коми","Луговая, 16, Усть-Кулом, Россия, 168060","19.02.2016"
2398,"ФОК крытый, постоянный с бассейном и универсальным спортивным залом 47*29м","Санкт-Петербург","Ушинского ул, 10с2, Санкт-Петербург, Россия, 195269","19.02.2016"
2399,"Плавательный бассейн "Нептун"","Свердловская область","Уральская, 81с1, Асбест, Россия, 624260","01.03.2016"
2400,"Спортивный комплекс с универсальным игровым залом и плавательным бассейном","Новгородская область","Молодежная , 18, Валдай, Россия, 175400","01.03.2016"
2401,"Комплекс спортивный","Свердловская область","Чкалова, 20, Краснотурьинск, Россия, 624440","01.03.2016"
2402,"Трасса спортивная (земельный участок)","Свердловская область","Объездное шоссе, 13, Новоуральск, Россия, 624130","01.03.2016"
2403,"Биатлонно-лыжный комплекс СКГАУ "Академия биатлона"","Красноярский край","Биатлонная, 35, Красноярск, Россия, 660041","01.03.2016"
2404,"Здание спортивного центра с универсальным игровым залом","Алтайский край","Антона Петрова, 146 Г, Барнаул, Россия, 656050","01.03.2016"
2405,"Спортивный корпус плавательного бассейна","Свердловская область","Победы, 23, Лесной, Россия, 624200","01.03.2016"
2406,"Лыжная база","Свердловская область","проезд Хвойный, 1, Лесной, Россия, 624200","01.03.2016"
2407,"Спортивный комплекс (литер Б)","Ямало-Ненецкий автономный округ","Киевская, 20, Ноябрьск, Россия, 629804","01.03.2016"
2408,"Дом спорта МБУ ДО "СДЮСШОР по самбо и дзюдо"","Пермский край","Олега Кошевого, 7а, Березники, Россия, 618400","01.03.2016"
2409,"Футбольное поле стадиона "Труд"","Московская область","Советская, Вербилки, Россия, 141930","12.02.2016"
2410,"МАУ "Физкультурно-оздоровительный центр "Юность"","Тюменская область","Ленина, 7са, Каскара, Россия, 625512","12.02.2016"
2411,"Конно-спортивный комплекс","Свердловская область","Манежная, 1, Верхнее Дуброво, Россия, 620137","10.03.2016"
