"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
109,"Физкультурно-оздоровительный комплекс","Республика Мордовия","Пушкина, 10сА, Саранск, Россия, 430004","17.12.2012"
110,"Теннисный комплекс","Республика Мордовия","Грузинская, 25 А, Саранск, Россия, 430004","17.12.2012"
111,"Муниципальное учреждение спортивно-оздоровительный комплекс "Юность"","Амурская область","Краснофлотская, 6, Благовещенск (Амурская обл.), Россия, 675002","17.12.2012"
112,"Муниципальное бюджетное учреждение "Стадион "Шахтер"","Кемеровская область","Мусохранова, 2а, Ленинск-Кузнецкий, Россия, 652502","17.12.2012"
113,"Теннисный центр","Республика Мордовия","Грузинская, 25, Саранск, Россия, 430004","17.12.2012"
114,"Спортивный комплекс "Дом спорта им. М. Дворкина"","Красноярский край","остров Отдыха, 15, Красноярск, Россия, 660093","17.12.2012"
115,"Муниципальное бюджетное учреждение дополнительного образования детей "Специализированная детско-юношеская спортивная школа олимпийского резерва "Олимп" г. Перми","Пермский край","Мостовая, 6, Пермь, Россия, 614014","21.12.2012"
116,"Ледовый дворец спорта "Кристалл"","Саратовская область","Чернышевского, 63, Саратов, Россия, 410004","21.12.2012"
117,"Стадион "Арена - "Анненки"","Калужская область","Анненки, 5, Калуга, Россия, 248007","21.12.2012"
118,"Спортивный комплекс СДЮСШОР по самбо и дзюдо "Витязь" им. И.И. Пономарева","Пермский край","Карпинского, 100 А, Пермь, Россия, 614022","21.12.2012"
119,"Учебно-спортивный корпус ФГБОУ ВПО "УралГУФК"","Челябинская область","Энгельса, 22, Челябинск, Россия, 454091","21.12.2012"
120,"Физкультурно-оздоровительный комплекс "Звездный"","Саратовская область","Большая Затонская, 5, Саратов, Россия, 410004","21.12.2012"
121,"Спортивный комплекс "Юбилейный"","Санкт-Петербург","Добролюбова пр-кт, 18, Санкт-Петербург, Россия, 197198","24.12.2012"
122,"Футбольное поле Богучарской ДЮСШ","Воронежская область","Дзержинского, 21, Богучар, Россия, 396790","28.12.2012"
123,"Биатлонно-лыжный комплекс","Республика Мордовия","Энгельса, 31, Саранск, Россия, 430032","28.12.2012"
124,"Ледовый дворец ГОУП "Учебно-спортивный центр"","Мурманская область","ул. Челюскинцев, 2, Мурманск, Россия, 183038","10.01.2013"
